old_id,new_id,title,bibtex_key
63,62,"The ""Architectural Jewels of Lublin"" Game as a Tool for Collaborative Interactive Learning of History",63Milosz201896
64,63,The Development and Evaluation of an Online Educational Game Integrated with Real Person-NPC mechanism for History Learning,64Liu2021
65,64,The Development of a Role-Playing Game for History Instruction and the Evaluation of Flow State and Learning Performance,65Hsu201324
66,65,The Development of History Educational Game as a Revision Tool for Malaysia School Education,66Razak201139
67,66,The Effect of the Game-Based Learning Model on Student Engagement in History Learning,67Rahmawati2023163
68,67,The Effects of Online Interactive Games on High School Students' Achievement and Motivation in History Learning,68Lin201296
69,68,The End Game in Kuhlthau's ISP Model: Knowledge Construction for Grade 8 Students Researching an Inquiry-Based History Project,69cole2015end
70,69,The Evaluation Study of Gamification Approach in Malaysian History Learning via Mobile Game Application,70Wong2017150
71,70,The Game-based Learning Activity Integrating Board Game and Mobile Online Searching Tasks for History Learning,71Hou201519
72,71,The Pedagogical Application of Alternate Reality Games: Using Game-Based Learning to Revisit History,72lynch2015pedagogical
73,72,The Utilization of History Module in the Development of Multiculturalism-Based Team Games Tournament Model to Improve the Bhineka Attitudes on 10th Grade Students in SMA Erlangga Pematangsiantar,73hutauruk2020utilization
74,73,Towards an Online Multiplayer Serious Game Providing a Joyful Experience in Learning Art History,74Wolfartsberger2011160
75,74,Using Learning Games to Teach Texas Civil War History to Public Middle School Students,75Fendt2019
76,75,Using the Rutgers Oral History Archives and Historical Games to Teach Undergraduates Concepts in American Immigration History,76trajano2014using
77,76,Validity of a Simulation Game as a Method for History Teaching,77Corbeil2011462
78,77,Virtual Reality and Educational Game to Learn Madurese History and Alphabet For Elementary School Students,78Ramansyah2021
79,78,"When Everyone Wins: Dialogue, Play, and Black History for Critical Games Education",79Rouse2022357
80,79,"Work, Trade, Learn: Developing an Immersive Serious Game for History Education",80Fernes2024379
81,80,"Your iPhone Cannot Escape History, and Neither Can You: Self-Reflexive Design for a Mobile History Learning Game",81gottlieb2018your
